image_path,file_name,class_name,extension,file_size_kb,width,height,mode,format,is_valid,error_message
/content/drive/MyDrive/Calorify/dataset/pizza/1077.jpg,1077.jpg,pizza,.jpg,0.0,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pizza/1077.jpg'
/content/drive/MyDrive/Calorify/dataset/pizza/1080.jpg,1080.jpg,pizza,.jpg,0.0,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pizza/1080.jpg'
/content/drive/MyDrive/Calorify/dataset/pizza/1113.jpg,1113.jpg,pizza,.jpg,4.45,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pizza/1113.jpg'
/content/drive/MyDrive/Calorify/dataset/pizza/1124.jpg,1124.jpg,pizza,.jpg,47.62,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pizza/1124.jpg'
/content/drive/MyDrive/Calorify/dataset/pizza/1128.jpg,1128.jpg,pizza,.jpg,47.62,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pizza/1128.jpg'
/content/drive/MyDrive/Calorify/dataset/pizza/1143.jpg,1143.jpg,pizza,.jpg,4.44,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pizza/1143.jpg'
/content/drive/MyDrive/Calorify/dataset/pasta/485.jpg,485.jpg,pasta,.jpg,5.42,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pasta/485.jpg'
/content/drive/MyDrive/Calorify/dataset/pasta/492.jpg,492.jpg,pasta,.jpg,37.1,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pasta/492.jpg'
/content/drive/MyDrive/Calorify/dataset/pasta/498.jpg,498.jpg,pasta,.jpg,4.45,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pasta/498.jpg'
/content/drive/MyDrive/Calorify/dataset/pasta/507.jpg,507.jpg,pasta,.jpg,4.45,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pasta/507.jpg'
/content/drive/MyDrive/Calorify/dataset/pasta/508.jpg,508.jpg,pasta,.jpg,4.45,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pasta/508.jpg'
/content/drive/MyDrive/Calorify/dataset/pasta/509.jpg,509.jpg,pasta,.jpg,0.02,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pasta/509.jpg'
/content/drive/MyDrive/Calorify/dataset/pasta/511.jpg,511.jpg,pasta,.jpg,37.11,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pasta/511.jpg'
/content/drive/MyDrive/Calorify/dataset/pasta/512.jpg,512.jpg,pasta,.jpg,37.06,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pasta/512.jpg'
/content/drive/MyDrive/Calorify/dataset/pasta/515.jpg,515.jpg,pasta,.jpg,4.45,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pasta/515.jpg'
/content/drive/MyDrive/Calorify/dataset/pasta/514.jpg,514.jpg,pasta,.jpg,37.07,,,,,False,cannot identify image file '/content/drive/MyDrive/Calorify/dataset/pasta/514.jpg'
