image_path,file_name,class_name,extension,file_size_kb,width,height,mode,format,is_valid,error_message
/content/drive/MyDrive/Calorify/dataset/burger/burger_103.jpg,burger_103.jpg,burger,.jpg,11.86,244.0,207.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_101.jpg,burger_101.jpg,burger,.jpg,7.53,222.0,227.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_104.jpg,burger_104.jpg,burger,.jpg,7.98,225.0,225.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_10.jpg,burger_10.jpg,burger,.jpg,8.54,352.0,143.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_105.jpg,burger_105.jpg,burger,.jpg,6.68,236.0,214.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_102.jpg,burger_102.jpg,burger,.jpg,9.2,225.0,225.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_0.jpg,burger_0.jpg,burger,.jpg,7.92,276.0,183.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_100.jpg,burger_100.jpg,burger,.jpg,7.07,225.0,225.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_1.jpg,burger_1.jpg,burger,.jpg,9.34,259.0,194.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_117.jpg,burger_117.jpg,burger,.jpg,7.01,168.0,300.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_136.jpg,burger_136.jpg,burger,.jpg,6.71,275.0,183.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_12.jpg,burger_12.jpg,burger,.jpg,8.63,275.0,183.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_14.jpg,burger_14.jpg,burger,.jpg,7.11,218.0,231.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_127.jpg,burger_127.jpg,burger,.jpg,8.56,225.0,225.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_121.jpg,burger_121.jpg,burger,.jpg,7.2,433.0,116.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_116.jpg,burger_116.jpg,burger,.jpg,16.18,248.0,203.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_134.jpg,burger_134.jpg,burger,.jpg,7.0,275.0,183.0,RGB,JPEG,True,
