image_path,file_name,class_name,extension,file_size_kb,width,height,mode,format,is_valid,error_message
/content/drive/MyDrive/Calorify/dataset/burger/burger_338.jpg,burger_338.jpg,burger,.jpg,6.52,183.0,275.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_223.jpg,burger_223.jpg,burger,.jpg,5.03,278.0,182.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_386.jpg,burger_386.jpg,burger,.jpg,7.93,259.0,194.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_508.jpg,burger_508.jpg,burger,.jpg,11.73,259.0,194.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_459.jpg,burger_459.jpg,burger,.jpg,8.93,269.0,187.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_453 (1).jpg,burger_453 (1).jpg,burger,.jpg,11.59,183.0,275.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_32.jpg,burger_32.jpg,burger,.jpg,11.9,300.0,168.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_122.jpg,burger_122.jpg,burger,.jpg,6.23,275.0,183.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_153.jpg,burger_153.jpg,burger,.jpg,11.1,313.0,161.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_443 (1).jpg,burger_443 (1).jpg,burger,.jpg,3.6,100.0,100.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_468.jpg,burger_468.jpg,burger,.jpg,8.36,275.0,183.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_491.jpg,burger_491.jpg,burger,.jpg,10.33,282.0,178.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_352.jpg,burger_352.jpg,burger,.jpg,8.83,265.0,190.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_393.jpg,burger_393.jpg,burger,.jpg,8.35,276.0,183.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_75.jpg,burger_75.jpg,burger,.jpg,13.36,300.0,168.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_259.jpg,burger_259.jpg,burger,.jpg,2.98,100.0,100.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_308.jpg,burger_308.jpg,burger,.jpg,7.99,259.0,194.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_149.jpg,burger_149.jpg,burger,.jpg,12.16,299.0,169.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_72.jpg,burger_72.jpg,burger,.jpg,9.53,259.0,194.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_263.jpg,burger_263.jpg,burger,.jpg,10.81,225.0,225.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_85.jpg,burger_85.jpg,burger,.jpg,10.41,275.0,183.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_173.jpg,burger_173.jpg,burger,.jpg,8.04,353.0,143.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_440.jpg,burger_440.jpg,burger,.jpg,6.64,221.0,228.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_335.jpg,burger_335.jpg,burger,.jpg,10.5,259.0,194.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_530.jpg,burger_530.jpg,burger,.jpg,11.45,259.0,194.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_242.jpg,burger_242.jpg,burger,.jpg,6.7,183.0,275.0,RGB,JPEG,True,
/content/drive/MyDrive/Calorify/dataset/burger/burger_306.jpg,burger_306.jpg,burger,.jpg,8.89,264.0,191.0,RGB,JPEG,True,
